kind,head,worker,assignment,request_payload_bytes,response_payload_bytes,elapsed_us,decode_us,layer_norm_us,projection_us,attention_us,norm_kernel_max_abs,norm_official_max_abs,norm_official_failed,context_kernel_max_abs,context_official_max_abs,context_official_failed,status
head,0,0,0;1;0;1,32784,32796,2420887,2,360251,264675,1696585,7.152557373046875e-07,8.202344179153442e-05,0,4.1544437408447266e-05,0.00032830238342285156,0,PASS
head,1,1,0;1;0;1,32784,32796,2414294,2,359723,264619,1696678,7.152557373046875e-07,9.751319885253906e-05,0,4.476308822631836e-05,0.00025486794766038656,0,PASS
head,2,0,0;1;0;1,32784,32796,2428360,2,360130,264197,1694425,9.5367431640625e-07,7.653236389160156e-05,0,4.273653030395508e-05,0.0003527402877807617,0,PASS
head,3,1,0;1;0;1,32784,32796,2431085,2,360867,264220,1698315,7.152557373046875e-07,8.285045623779297e-05,0,3.3833086490631104e-05,0.0003209710121154785,0,PASS
full,-1,-1,0;1;0;1,131136,131184,4850344,4,720590,528872,3394993,9.5367431640625e-07,9.751319885253906e-05,0,4.476308822631836e-05,0.0003527402877807617,0,PASS
