causal,reference_median_us,mixed_median_us,speedup,mixed_workspace_bytes,mixed_working_set_bytes,board_max_abs_error,board_max_relative_error,board_failed_elements,board_status,host_max_abs_error,host_max_relative_error,host_failed_elements,host_status
0,132284,130336,1.014946,96,31328,0.000179991126,3.13382912,0,PASS,0.000179966103,3.13072794,0,PASS
1,117059,117230,0.998541,96,31328,0.000231683254,0.174059063,0,PASS,0.000231686936,0.17402873,0,PASS

